Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['分かり合う']#[['わかりあう']]#4#['&v5u;']#['to understand (each other)', 'to comprehend']
['考えすぎる']#[['かんがえすぎる']]#4#['&v1;']#['to think too much', 'to be over-concerned']
['一高一低']#[['いっこういってい']]#4#['&n;', '&vs;']#['rise and fall', 'frequent fluctuations (of the market price)']
['運気好転']#[['うんきこうてん']]#4#['&n;', '&vs;']#['turn (stroke) of good fortune', \"one's fortune turning for the better\"]
['前後撞着']#[['ぜんごどうちゃく']]#4#['&n;', '&vs;']#['self-contradiction', 'self-inconsistency']
['二転三転']#[['にてんさんてん']]#4#['&n;', '&vs;']#['change again and again', 'seesaw back and forth', 'being in a state of flux', 'backtracking repeatedly']
['脇見運転']#[['わきみうんてん']]#4#['&n;', '&vs;']#['looking aside while driving', \"taking one's eyes off the road ahead while driving\"]
['自走']#[['じそう']]#4#['&n;', '&vs;', '&adj-no;']#['self-propulsion']
['前転']#[['ぜんてん']]#4#['&n;', '&vs;']#['forward somersault', 'forward roll']
['バク転']#[['バクてん'], ['バックてん']]#4#['&n;', '&vs;']#['backward somersault', 'back handspring', 'backflip']
['気が遠くなる']#[['きがとおくなる']]#4#['&exp;', '&v5r;']#['to faint', 'to lose consciousness']
['気を引く']#[['きをひく']]#4#['&exp;', '&v5k;']#[\"to attract someone's attention\", \"to arouse someone's interest\"]
['乗っける']#[['のっける']]#4#['&v1;', '&vt;']#['to place on (something)']
['貸して上げる']#[['かしてあげる']]#4#['&v1;']#['to lend (e.g. money)']
['集め始める']#[['あつめはじめる']]#4#['&v1;']#['to begin to catch (attention, etc.)', 'to begin to collect']
['強つく']#[['ごわつく'], ['ゴワつく']]#4#['&v5k;', '&vi;']#['to be stiff', 'to be starchy']
['のけ者にする']#[['のけものにする']]#4#['&exp;', '&vs-i;']#['to exclude (someone)', 'to shun', 'to ignore', 'to leave out', 'to ostracize']
['音をあげる']#[['ねをあげる']]#4#['&exp;', '&v1;']#['to give up', 'to admit defeat', 'to throw in the towel']
['パケ死']#[['パケし']]#4#['&n;', '&vs;']#['racking up unmanageably large mobile data costs', 'bill shock', {'_': 'death by packet', '$': {'g_type': 'lit'}}]
['明る']#[['あかる']]#4#['&v5r;', '&vi;']#['to become bright', 'to become clear']
['目合ひ']#[['まぐわい']]#4#['&n;', '&vs;']#['sexual intercourse']
['考え倦ねる']#[['かんがえあぐねる']]#4#['&v1;']#['to be at a loss', 'to think and think but get nowhere', 'to fail to come up with a good idea']
['ほふく前進']#[['ほふくぜんしん']]#4#['&n;', '&vs;']#['crawling along']
['雁首をそろえる']#[['がんくびをそろえる']]#4#['&exp;', '&v1;']#['to sit silently at a meeting']
['雁首揃える']#[['がんくびそろえる']]#4#['&exp;', '&v1;']#['to sit silently at a meeting']
['フル回転']#[['フルかいてん']]#4#['&n;', '&vs;']#['full operation']
['思いあぐねる']#[['おもいあぐねる']]#4#['&v1;']#['to think something over and over', \"to rack one's brains\", 'to be at a loss']
['思わせる']#[['おもわせる']]#4#['&v1;']#['to make somebody believe (something)', 'to give somebody the impression']
['帰り着く']#[['かえりつく']]#4#['&v5k;', '&vi;']#['to arrive home', 'to return']
['借入']#[['しゃくにゅう']]#4#['&n;', '&vs;']#['loan', 'borrowing']
['啖呵を切る']#[['たんかをきる'], ['タンカをきる']]#4#['&exp;', '&v5r;']#['to speak sharply (e.g. during a heated discussion or argument)']
['習わす']#[['ならわす']]#4#['&v5s;', '&vt;']#['to make (someone) learn']
['帰する']#[['きする']]#4#['&vs-s;']#['to come to (in the end)', 'to end in']
['手に乗る']#[['てにのる']]#4#['&exp;', '&v5r;']#['to fall for a trick', 'to be taken in', 'to play into the hands (of)']
['転ばす']#[['ころばす']]#4#['&v5s;']#['to knock down', 'to topple']
['この世を去る']#[['このよをさる']]#4#['&exp;', '&v5r;']#['to leave this world', 'to die']
['止めておく']#[['やめておく']]#4#['&v5k;']#['to pass', 'to pass on', 'to give (something) a miss']
['理にかなう']#[['りにかなう']]#4#['&exp;', '&v5u;']#['to make sense']
['物詣で']#[['ものもうで']]#4#['&n;', '&vs;']#['visiting a temple']
['説明がつく']#[['せつめいがつく']]#4#['&exp;', '&v5k;']#['to explain adequately', 'to be accountable']
['夜を明かす']#[['よをあかす']]#4#['&exp;', '&v5s;']#['to stay up all night', 'to spend the night without sleep']
['鞘走る']#[['さやばしる']]#4#['&v5r;']#[\"to slip out of one's scabbard (of swords)\"]
['目を引く']#[['めをひく']]#4#['&exp;', '&v5k;']#['to attract notice', 'to catch the eye', 'to stand out']
['人目を引く']#[['ひとめをひく']]#4#['&exp;', '&v5k;']#['to grab attention', 'to attract notice', 'to be eye-catching']
['注目を引く']#[['ちゅうもくをひく']]#4#['&exp;', '&v5k;']#['to make a splash', 'to draw attention']
['代わり合う']#[['かわりあう']]#4#['&v5u;', '&vi;']#['to relieve each other', 'to take turns (to do)']
['不味る']#[['まずる']]#4#['&v5r;', '&vi;']#['to bungle', 'to make things awkward']
['あごで使う']#[['あごでつかう'], ['アゴでつかう']]#4#['&exp;', '&v5u;']#['to set somebody to work in an arrogant fashion', 'to push somebody around', {'_': \"to indicate by pointing one's chin\", '$': {'g_type': 'lit'}}]
['引かされる']#[['ひかされる']]#4#['&v1;']#['to be moved', 'to be drawn']
['親のすねをかじる']#[['おやのすねをかじる']]#4#['&exp;', '&v5r;']#[\"to depend on one's parents' (financial) support\", {'_': \"to nibble at one's parents' shins\", '$': {'g_type': 'lit'}}]
['待ちに待つ']#[['まちにまつ']]#4#['&exp;', '&v5t;']#['to wait for a long time', 'to wait and wait', 'to eagerly await']
['合いの手を入れる']#[['あいのてをいれる']]#4#['&exp;', '&v1;']#['to make a gesture or say something during a break in conversation, playing of songs, etc.', 'to interrupt']
['おっ開く']#[['おっぴらく']]#4#['&v5k;']#['to do something in public']
['心がこもる']#[['こころがこもる']]#4#['&exp;', '&v5r;']#['to be thoughtful (of a gift, etc.)', 'to be from the heart', 'to be made with loving care']
['思いがする']#[['おもいがする']]#4#['&exp;', '&vs-i;']#['to feel as though ...']
['思いを馳せる']#[['おもいをはせる']]#4#['&exp;', '&v1;']#['to think about', \"to send one's heart out to\", 'to give more than a passing thought to', 'to think of something far away', \"to think nostalgically upon (esp. one's hometown)\"]
['元気を出す']#[['げんきをだす']]#4#['&exp;', '&v5s;']#['to cheer up']
['顔を出す']#[['かおをだす']]#4#['&exp;', '&v5s;']#['to turn up', 'to make an appearance', 'to put in an appearance', 'to drop by']
['足を運ぶ']#[['あしをはこぶ']]#4#['&exp;', '&v5b;']#['to go', 'to come', 'to turn out (at a meeting, event, etc.)', 'to show up', 'to make your way to']
['一世を風靡する']#[['いっせいをふうびする']]#4#['&exp;', '&vs-i;']#['take the world by storm', 'to hold sway over the minds of the people']
['同じ釜の飯を食う']#[['おなじかまのめしをくう']]#4#['&exp;', '&v5u;']#['to live together', 'to be close friends', {'_': 'to eat out of the same pot', '$': {'g_type': 'lit'}}]
['おべっかを使う']#[['おべっかをつかう']]#4#['&exp;', '&v5u;']#['to suck up to', 'to curry up to someone']
['音頭をとる']#[['おんどをとる']]#4#['&exp;', '&v5r;']#['to take the lead (of a group of people)', 'to lead (a toast, cheer, etc.)']
['顔を売る']#[['かおをうる']]#4#['&exp;', '&v5r;']#['to make oneself known to the public', 'to become popular', 'to gain influence']
['顔を貸す']#[['かおをかす']]#4#['&exp;', '&v5s;']#['to grant a person a moment']
['顔をつなぐ']#[['かおをつなぐ']]#4#['&exp;', '&v5g;']#['to keep up acquaintance']
['顔を見せる']#[['かおをみせる']]#4#['&exp;', '&v1;']#['to make an appearance']
['風を切る']#[['かぜをきる']]#4#['&exp;', '&v5r;']#['to go flying along', 'to move fast (against the wind)']
['軽口を叩く']#[['かるくちをたたく']]#4#['&exp;', '&v5k;']#['to crack jokes']
['癇癪を起こす']#[['かんしゃくをおこす']]#4#['&exp;', '&v5s;']#[\"to lose one's temper\", 'to throw a tantrum']
['気合を入れる']#[['きあいをいれる']]#4#['&exp;', '&v1;']#['to fire oneself up', \"to give it one's all\", 'to get psyched', 'to motivate oneself']
['聞き知る']#[['ききしる']]#4#['&v5r;', '&vt;']#['to learn something through hearing']
['画す']#[['かくす']]#4#['&v5s;', '&vt;']#['to draw (a line)']
['楽しみに待つ']#[['たのしみにまつ']]#4#['&exp;', '&v5t;']#['to wait expectantly', 'to await in anticipation']
['好きにする']#[['すきにする']]#4#['&exp;', '&vs-i;']#['to do as one likes']
['好きになる']#[['すきになる']]#4#['&exp;', '&v5r;']#['to come to like', 'to become fond of', 'to fall in love']
['来館']#[['らいかん']]#4#['&n;', '&vs;']#['coming to an embassy, theatre, library, etc.']
['がんと一発くらわす']#[['がんといっぱつくらわす']]#4#['&exp;', '&v5s;']#['to punch someone', 'to give someone a belt']
['引っさげる']#[['ひっさげる']]#4#['&v1;', '&vt;']#[\"to carry in one's hand\", \"to have in one's hand\", 'to take with one']
['急転回']#[['きゅうてんかい']]#4#['&n;', '&vs;']#['abrupt turn', 'sudden change']
['赤みがかる']#[['あかみがかる']]#4#['&exp;', '&v5r;']#['to be tinged red']
['質問をする']#[['しつもんをする']]#4#['&exp;', '&vs-i;']#['to ask a question', 'to ask questions']
['死する']#[['しする']]#4#['&vs-s;', '&vi;']#['to die']
['物を言う']#[['ものをいう']]#4#['&exp;', '&v5u;']#['to speak (of something)']
['色チ買い']#[['いろチがい'], ['いろちがい'], ['イロチがい']]#4#['&n;', '&vs;']#['buying more than one of the same item in different colors (colours)']
['目を合わせる']#[['めをあわせる']]#4#['&exp;', '&v1;']#['to make eye contact']
['着生']#[['ちゃくせい']]#4#['&adj-no;', '&vs;']#['epiphytic', 'designating a non-parasitic plant that grows on other plants']
['一発やる']#[['いっぱつやる']]#4#['&v5r;']#['to have sex', 'to bang someone']
['気を回す']#[['きをまわす']]#4#['&exp;', '&v5s;']#['to read too much into things', \"to get wrong ideas by letting one's imagination run wild\", 'to have a groundless suspicion']
['気を持たす']#[['きをもたす']]#4#['&exp;', '&v5s;']#['to encourage someone to expect something', \"to raise someone's hopes\"]
['気を持たせる']#[['きをもたせる']]#4#['&exp;', '&v1;']#['to encourage someone to expect something', \"to raise someone's hopes\"]
['声を呑む']#[['こえをのむ']]#4#['&exp;', '&v5m;']#['to choke up', 'to be speechless']
['ブチ切れる']#[['ブチきれる'], ['ブチぎれる'], ['ぶちきれる'], ['ぶちぎれる']]#4#['&v1;']#['to be enraged', 'to flip out']
['目に物見せる']#[['めにものみせる']]#4#['&exp;', '&v1;']#['to teach someone a lesson', 'to show someone a thing or two', 'to show someone what one can do']
['ガン切れ']#[['ガンぎれ'], ['ガンギレ']]#4#['&n;', '&vs;']#[\"losing one's cool\", \"blowing one's top\"]
['プチ切れ']#[['プチぎれ'], ['プチきれ'], ['プチギレ'], ['プチキレ']]#4#['&n;', '&vs;']#['getting irked', 'getting slightly ticked off']
['マジ切れ']#[['マジぎれ'], ['マジギレ']]#4#['&n;', '&vs;']#['being truly angry']
['青くなる']#[['あおくなる']]#4#['&exp;', '&v5r;', '&vi;']#['to become blue', 'to turn green']
['足が遠のく']#[['あしがとおのく']]#4#['&exp;', '&v5k;']#['to visit less often']
['慇懃を通じる']#[['いんぎんをつうじる']]#4#['&exp;', '&v1;']#['to have a surreptitious sexual relationship with', 'to have an illicit love affair with']
['手ぐすね引く']#[['てぐすねひく']]#4#['&exp;', '&v5k;']#['to be ready and waiting for', 'to be on the alert for']
['明るみに出る']#[['あかるみにでる']]#4#['&exp;', '&v1;']#['to come to light']
['笠に着る']#[['かさにきる']]#4#['&exp;', '&v1;']#['to wear the mantle of (borrowed) authority and misuse it']
['帰天']#[['きてん']]#4#['&n;', '&vs;']#['death of a Christian (in Catholicism)']
['急場をしのぐ']#[['きゅうばをしのぐ']]#4#['&exp;', '&v5g;']#['to tide over a difficult situation', 'to use a stopgap measure in a crisis']
['後家を立てる']#[['ごけをたてる']]#4#['&exp;', '&v1;']#[\"to remain faithful to the memory of one's husband and never remarry\"]
['汎発']#[['はんぱつ']]#4#['&n;', '&vs;']#['pandemic', 'widespread']
['手が後ろに回る']#[['てがうしろにまわる']]#4#['&exp;', '&v5r;']#[\"to have one's hands tied behind one\", 'to be arrested']
['出る所に出る']#[['でるところにでる']]#4#['&exp;', '&v1;']#['to go wherever one has to go (to get a matter settled, e.g. the court)']
['ばつを合わせる']#[['ばつをあわせる']]#4#['&exp;', '&v1;']#[\"to make one's story to seem coherent\", \"to adjust one's story to fit the situation\"]
['手を貸す']#[['てをかす']]#4#['&exp;', '&v5s;']#['to lend a hand', 'to help']
['立て引く']#[['たてひく']]#4#['&v5k;']#['to compete with each other (e.g. out of pride, obstinacy, etc.)']
['間を持つ']#[['まをもつ']]#4#['&exp;', '&v5t;']#['to have a controlling presence', 'to have a certain aura']
['十字を切る']#[['じゅうじをきる']]#4#['&exp;', '&v5r;']#['to make the sign of the cross', 'to bless oneself', 'to cross oneself']
['口に運ぶ']#[['くちにはこぶ']]#4#['&exp;', '&v5b;']#['to put into the mouth', 'to eat']
['口に乗る']#[['くちにのる']]#4#['&exp;', '&v5r;']#['to be a topic of conversation', 'to be made much of']
['ショック死']#[['ショックし']]#4#['&n;', '&vs;']#['death due to shock (triggered by blood loss, heart failure or other causes)']
['銀ぶら']#[['ぎんぶら'], ['ぎんブラ']]#4#['&n;', '&vs;']#['strolling in Ginza']
['銀めっき']#[['ぎんめっき']]#4#['&n;', '&vs;', '&adj-no;']#['silvering', 'silver-plating']
['力になる']#[['ちからになる']]#4#['&exp;', '&v5r;']#['to be helpful', 'to be dependable', 'to stand by (someone)']
['開学']#[['かいがく']]#4#['&n;', '&vs;']#['establishment of a university']
['間に合っている']#[['まにあっている']]#4#['&exp;', '&v1;']#['to already have enough', 'to already have what one needs']
['でかい顔をする']#[['でかいかおをする']]#4#['&exp;', '&vs-i;']#['to act self-importantly', 'to be arrogant', 'to be high-handed', 'to puff up']
['力を貸す']#[['ちからをかす']]#4#['&exp;', '&v5s;']#['to assist', 'to help out']
['捧げ持つ']#[['ささげもつ']]#4#['&v5t;']#['to hold something reverently with both hands']
['いじくり回す']#[['いじくりまわす']]#4#['&v5s;', '&vt;']#['to fiddle with', 'to monkey around with']
['赤子の手をひねる']#[['あかごのてをひねる'], ['あかごのてをねじる']]#4#['&exp;', '&v5r;']#['to take candy from a baby', 'to accomplish something with ease', {'_': \"to twist a baby's arm\", '$': {'g_type': 'lit'}}]
['すり合わせる']#[['すりあわせる']]#4#['&v1;', '&vt;']#['to rub together']
['びっこを引く']#[['びっこをひく']]#4#['&exp;', '&v5k;']#['to limp']
['意味をなす']#[['いみをなす']]#4#['&exp;', '&v5s;']#['to make sense', 'to be meaningful']
['お世話']#[['おせわ']]#4#['&n;', '&vs;']#['help', 'aid', 'assistance']
['目を白黒させる']#[['めをしろくろさせる']]#4#['&exp;', '&v1;']#[\"to dart one's eyes about\", 'to be surprised', 'to be bewildered', 'to be confused', 'to be flustered']
['すっ転ぶ']#[['すっころぶ']]#4#['&v5b;', '&vi;']#['to (dramatically) fall over', 'to fall flat']
['注ぐ']#[['つぐ']]#4#['&v5g;', '&vt;']#['to pour (into a vessel)', 'to fill (a cup, bowl, etc.) with', 'to dish out (food or drink)']
['食べ始める']#[['たべはじめる']]#4#['&v1;']#['to start eating']
['見せ合う']#[['みせあう']]#4#['&v5u;']#['to show each other']
['洗い晒す']#[['あらいざらす']]#4#['&v5s;', '&vt;']#['to fade something by overwashing it']
